# filename: /home/lepecvd/lepecvd/11355/xray/2.0deg-2.0deg-rsm-3h10m_11355-E5_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.1678	85.1526	0.46	0.10	-30.00	-20.00	7.373	5.21331	7.06896	2.0
6.1778	85.1726	0.46	0.10	-30.00	-20.00	7.373	5.21430	7.07030	4.0
6.1878	85.1926	0.46	0.10	-30.00	-20.00	7.373	5.21529	7.07165	0.0
6.1978	85.2126	0.46	0.10	-30.00	-20.00	7.373	5.21628	7.07299	6.0
6.2078	85.2326	0.46	0.10	-30.00	-20.00	7.373	5.21727	7.07433	4.0
6.2178	85.2526	0.46	0.10	-30.00	-20.00	7.373	5.21826	7.07567	2.0
6.2278	85.2726	0.46	0.10	-30.00	-20.00	7.373	5.21924	7.07701	0.0
6.2378	85.2926	0.46	0.10	-30.00	-20.00	7.373	5.22023	7.07835	0.0
6.2478	85.3126	0.46	0.10	-30.00	-20.00	7.373	5.22122	7.07970	0.0
6.2578	85.3326	0.46	0.10	-30.00	-20.00	7.373	5.22221	7.08104	4.0
6.2678	85.3526	0.46	0.10	-30.00	-20.00	7.373	5.22320	7.08238	0.0
6.2778	85.3726	0.46	0.10	-30.00	-20.00	7.373	5.22419	7.08372	0.0
6.2878	85.3926	0.46	0.10	-30.00	-20.00	7.373	5.22518	7.08506	0.0
6.2978	85.4126	0.46	0.10	-30.00	-20.00	7.373	5.22617	7.08640	0.0
6.3078	85.4326	0.46	0.10	-30.00	-20.00	7.373	5.22715	7.08774	0.0
6.3178	85.4526	0.46	0.10	-30.00	-20.00	7.373	5.22814	7.08908	2.0
6.3278	85.4726	0.46	0.10	-30.00	-20.00	7.373	5.22913	7.09042	0.0
6.3378	85.4926	0.46	0.10	-30.00	-20.00	7.373	5.23012	7.09176	2.0
6.3478	85.5126	0.46	0.10	-30.00	-20.00	7.373	5.23111	7.09310	4.0
6.3578	85.5326	0.46	0.10	-30.00	-20.00	7.373	5.23209	7.09444	2.0
6.3678	85.5526	0.46	0.10	-30.00	-20.00	7.373	5.23308	7.09577	2.0
6.3778	85.5726	0.46	0.10	-30.00	-20.00	7.373	5.23407	7.09711	0.0
6.3878	85.5926	0.46	0.10	-30.00	-20.00	7.373	5.23505	7.09845	2.0
6.3978	85.6126	0.46	0.10	-30.00	-20.00	7.373	5.23604	7.09979	0.0
6.4078	85.6326	0.46	0.10	-30.00	-20.00	7.373	5.23703	7.10113	0.0
6.4178	85.6526	0.46	0.10	-30.00	-20.00	7.373	5.23801	7.10246	2.0
6.4278	85.6726	0.46	0.10	-30.00	-20.00	7.373	5.23900	7.10380	2.0
6.4378	85.6926	0.46	0.10	-30.00	-20.00	7.373	5.23999	7.10514	0.0
6.4478	85.7126	0.46	0.10	-30.00	-20.00	7.373	5.24097	7.10647	0.0
6.4578	85.7326	0.46	0.10	-30.00	-20.00	7.373	5.24196	7.10781	4.0
6.4678	85.7526	0.46	0.10	-30.00	-20.00	7.373	5.24294	7.10915	4.0
6.4778	85.7726	0.46	0.10	-30.00	-20.00	7.373	5.24393	7.11048	0.0
6.4878	85.7926	0.46	0.10	-30.00	-20.00	7.373	5.24491	7.11182	2.0
6.4978	85.8126	0.46	0.10	-30.00	-20.00	7.373	5.24590	7.11316	0.0
6.5078	85.8326	0.46	0.10	-30.00	-20.00	7.373	5.24688	7.11449	2.0
6.5178	85.8526	0.46	0.10	-30.00	-20.00	7.373	5.24787	7.11583	6.0
6.5278	85.8726	0.46	0.10	-30.00	-20.00	7.373	5.24885	7.11716	2.0
6.5378	85.8926	0.46	0.10	-30.00	-20.00	7.373	5.24984	7.11850	2.0
6.5478	85.9126	0.46	0.10	-30.00	-20.00	7.373	5.25082	7.11983	4.0
6.5578	85.9326	0.46	0.10	-30.00	-20.00	7.373	5.25181	7.12117	2.0
6.5678	85.9526	0.46	0.10	-30.00	-20.00	7.373	5.25279	7.12250	0.0
6.5778	85.9726	0.46	0.10	-30.00	-20.00	7.373	5.25378	7.12383	2.0
6.5878	85.9926	0.46	0.10	-30.00	-20.00	7.373	5.25476	7.12517	2.0
6.5978	86.0126	0.46	0.10	-30.00	-20.00	7.373	5.25574	7.12650	2.0
6.6078	86.0326	0.46	0.10	-30.00	-20.00	7.373	5.25673	7.12784	0.0
6.6178	86.0526	0.46	0.10	-30.00	-20.00	7.373	5.25771	7.12917	4.0
6.6278	86.0726	0.46	0.10	-30.00	-20.00	7.373	5.25869	7.13050	0.0
6.6378	86.0926	0.46	0.10	-30.00	-20.00	7.373	5.25968	7.13183	4.0
6.6478	86.1126	0.46	0.10	-30.00	-20.00	7.373	5.26066	7.13317	0.0
6.6578	86.1326	0.46	0.10	-30.00	-20.00	7.373	5.26164	7.13450	0.0
6.6678	86.1526	0.46	0.10	-30.00	-20.00	7.373	5.26262	7.13583	4.0
6.6778	86.1726	0.46	0.10	-30.00	-20.00	7.373	5.26361	7.13716	4.0
6.6878	86.1926	0.46	0.10	-30.00	-20.00	7.373	5.26459	7.13850	4.0
6.6978	86.2126	0.46	0.10	-30.00	-20.00	7.373	5.26557	7.13983	2.0
6.7078	86.2326	0.46	0.10	-30.00	-20.00	7.373	5.26655	7.14116	0.0
