# filename: /home/lepecvd/lepecvd/11358/xray/2.0deg-2.0deg-rsm-3h10m_11358-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.1944	85.1124	-0.24	0.13	0.00	-23.01	7.396	5.20555	7.07051	4.0
6.2044	85.1324	-0.24	0.13	0.00	-23.01	7.396	5.20654	7.07185	0.0
6.2144	85.1524	-0.24	0.13	0.00	-23.01	7.396	5.20753	7.07319	0.0
6.2244	85.1724	-0.24	0.13	0.00	-23.01	7.396	5.20852	7.07454	2.0
6.2344	85.1924	-0.24	0.13	0.00	-23.01	7.396	5.20951	7.07588	2.0
6.2444	85.2124	-0.24	0.13	0.00	-23.01	7.396	5.21050	7.07722	0.0
6.2544	85.2324	-0.24	0.13	0.00	-23.01	7.396	5.21149	7.07857	2.0
6.2644	85.2524	-0.24	0.13	0.00	-23.01	7.396	5.21248	7.07991	2.0
6.2744	85.2724	-0.24	0.13	0.00	-23.01	7.396	5.21347	7.08125	2.0
6.2844	85.2924	-0.24	0.13	0.00	-23.01	7.396	5.21445	7.08259	2.0
6.2944	85.3124	-0.24	0.13	0.00	-23.01	7.396	5.21544	7.08394	6.0
6.3044	85.3324	-0.24	0.13	0.00	-23.01	7.396	5.21643	7.08528	0.0
6.3144	85.3524	-0.24	0.13	0.00	-23.01	7.396	5.21742	7.08662	2.0
6.3244	85.3724	-0.24	0.13	0.00	-23.01	7.396	5.21840	7.08796	0.0
6.3344	85.3924	-0.24	0.13	0.00	-23.01	7.396	5.21939	7.08930	0.0
6.3444	85.4124	-0.24	0.13	0.00	-23.01	7.396	5.22038	7.09064	2.0
6.3544	85.4324	-0.24	0.13	0.00	-23.01	7.396	5.22137	7.09198	4.0
6.3644	85.4524	-0.24	0.13	0.00	-23.01	7.396	5.22235	7.09332	0.0
6.3744	85.4724	-0.24	0.13	0.00	-23.01	7.396	5.22334	7.09466	0.0
6.3844	85.4924	-0.24	0.13	0.00	-23.01	7.396	5.22433	7.09600	2.0
6.3944	85.5124	-0.24	0.13	0.00	-23.01	7.396	5.22531	7.09734	2.0
6.4044	85.5324	-0.24	0.13	0.00	-23.01	7.396	5.22630	7.09868	0.0
6.4144	85.5524	-0.24	0.13	0.00	-23.01	7.396	5.22729	7.10002	2.0
6.4244	85.5724	-0.24	0.13	0.00	-23.01	7.396	5.22827	7.10136	2.0
6.4344	85.5924	-0.24	0.13	0.00	-23.01	7.396	5.22926	7.10270	4.0
6.4444	85.6124	-0.24	0.13	0.00	-23.01	7.396	5.23024	7.10404	2.0
6.4544	85.6324	-0.24	0.13	0.00	-23.01	7.396	5.23123	7.10538	2.0
6.4644	85.6524	-0.24	0.13	0.00	-23.01	7.396	5.23221	7.10672	2.0
6.4744	85.6724	-0.24	0.13	0.00	-23.01	7.396	5.23320	7.10806	0.0
6.4844	85.6924	-0.24	0.13	0.00	-23.01	7.396	5.23418	7.10939	4.0
6.4944	85.7124	-0.24	0.13	0.00	-23.01	7.396	5.23517	7.11073	0.0
6.5044	85.7324	-0.24	0.13	0.00	-23.01	7.396	5.23615	7.11207	4.0
6.5144	85.7524	-0.24	0.13	0.00	-23.01	7.396	5.23714	7.11341	0.0
6.5244	85.7724	-0.24	0.13	0.00	-23.01	7.396	5.23812	7.11474	2.0
6.5344	85.7924	-0.24	0.13	0.00	-23.01	7.396	5.23911	7.11608	0.0
6.5444	85.8124	-0.24	0.13	0.00	-23.01	7.396	5.24009	7.11742	2.0
6.5544	85.8324	-0.24	0.13	0.00	-23.01	7.396	5.24107	7.11875	0.0
6.5644	85.8524	-0.24	0.13	0.00	-23.01	7.396	5.24206	7.12009	2.0
6.5744	85.8724	-0.24	0.13	0.00	-23.01	7.396	5.24304	7.12142	4.0
6.5844	85.8924	-0.24	0.13	0.00	-23.01	7.396	5.24403	7.12276	0.0
6.5944	85.9124	-0.24	0.13	0.00	-23.01	7.396	5.24501	7.12410	2.0
6.6044	85.9324	-0.24	0.13	0.00	-23.01	7.396	5.24599	7.12543	0.0
6.6144	85.9524	-0.24	0.13	0.00	-23.01	7.396	5.24697	7.12677	2.0
6.6244	85.9724	-0.24	0.13	0.00	-23.01	7.396	5.24796	7.12810	0.0
6.6344	85.9924	-0.24	0.13	0.00	-23.01	7.396	5.24894	7.12944	2.0
